stamp,state_id,measurement_type,value
0.0,,RangePointToAnchor,4.894749531178417
0.1,,RangePointToAnchor,4.248075302828414
0.2,,RangePointToAnchor,3.9611343051054573
0.3,,RangePointToAnchor,4.0821924504858424
0.4,,RangePointToAnchor,3.861655110526346
0.5,,RangePointToAnchor,4.005468032504207
0.6,,RangePointToAnchor,3.870148526766479
0.7,,RangePointToAnchor,4.091675751269495
0.8,,RangePointToAnchor,3.5866981715000685
0.9,,RangePointToAnchor,3.6261570607392395
1.0,,RangePointToAnchor,3.7508940442347316
1.1,,RangePointToAnchor,3.599436600647428
1.2,,RangePointToAnchor,3.5224003201508567
1.3,,RangePointToAnchor,3.485167217940917
1.4,,RangePointToAnchor,3.799980791241343
1.5,,RangePointToAnchor,3.9753880543863067
1.6,,RangePointToAnchor,3.7652647238983596
1.7,,RangePointToAnchor,4.192647225363275
1.8,,RangePointToAnchor,4.229034066395015
1.9,,RangePointToAnchor,4.049053706361513
